BR_code,date_time,avg_leaf_temp,env_temp
BR7-01111,2015-8-5 00:00:00,19.91836,22.3
BR7-01112,2015-8-5 00:00:00,20.04784,22.3
BR7-01113,2015-8-5 00:00:00,19.83152,22.3
BR7-01114,2015-8-5 00:00:00,19.6832,22.3
BR7-01121,2015-8-5 00:00:00,20.02428,22.3
BR7-01122,2015-8-5 00:00:00,19.89512,22.3
BR7-01123,2015-8-5 00:00:00,20.09868,22.3
BR7-01124,2015-8-5 00:00:00,19.90584,22.3
BR7-01131,2015-8-5 00:00:00,19.7372,22.3
BR7-01132,2015-8-5 00:00:00,19.97404,22.3
BR7-01133,2015-8-5 00:00:00,20.23408,22.3
BR7-01134,2015-8-5 00:00:00,20.24008,22.3
BR7-02111,2015-8-5 00:00:00,20.40548,22.3
BR7-02112,2015-8-5 00:00:00,20.1384,22.3
BR7-02113,2015-8-5 00:00:00,20.00864,22.3
BR7-02114,2015-8-5 00:00:00,20.3198,22.3
BR7-02121,2015-8-5 00:00:00,20.29468,22.3
BR7-02122,2015-8-5 00:00:00,19.8228,22.3
BR7-02123,2015-8-5 00:00:00,19.89284,22.3
BR7-02124,2015-8-5 00:00:00,19.82056,22.3
BR7-02131,2015-8-5 00:00:00,20.23788,22.3
BR7-02132,2015-8-5 00:00:00,19.826,22.3
BR7-02133,2015-8-5 00:00:00,19.98208,22.3
BR7-02134,2015-8-5 00:00:00,19.9316,22.3
BR7-03111,2015-8-5 00:00:00,20.39556,22.3
BR7-03112,2015-8-5 00:00:00,20.06824,22.3
BR7-03113,2015-8-5 00:00:00,20.07436,22.3
BR7-03114,2015-8-5 00:00:00,20.47724,22.3
BR7-03121,2015-8-5 00:00:00,20.9118,22.3
BR7-03122,2015-8-5 00:00:00,20.44112,22.3
BR7-03123,2015-8-5 00:00:00,21.3676,22.3
BR7-03124,2015-8-5 00:00:00,20.54664,22.3
BR7-03131,2015-8-5 00:00:00,20.54356,22.3
BR7-03132,2015-8-5 00:00:00,20.949,22.3
BR7-03133,2015-8-5 00:00:00,20.21188,22.3
BR7-03134,2015-8-5 00:00:00,20.30432,22.3
BR7-04111,2015-8-5 00:00:00,19.77844,22.3
BR7-04112,2015-8-5 00:00:00,19.80712,22.3
BR7-04113,2015-8-5 00:00:00,20.0342,22.3
BR7-04114,2015-8-5 00:00:00,19.85704,22.3
BR7-04121,2015-8-5 00:00:00,20.23312,22.3
BR7-04122,2015-8-5 00:00:00,20.16088,22.3
BR7-04123,2015-8-5 00:00:00,19.8476,22.3
BR7-04124,2015-8-5 00:00:00,19.84936,22.3
BR7-04131,2015-8-5 00:00:00,19.97132,22.3
BR7-04132,2015-8-5 00:00:00,19.75408,22.3
BR7-04133,2015-8-5 00:00:00,19.8836,22.3
BR7-04134,2015-8-5 00:00:00,20.0668,22.3
BR7-05111,2015-8-5 00:00:00,20.72892,22.3
BR7-05112,2015-8-5 00:00:00,19.8776,22.3
BR7-05113,2015-8-5 00:00:00,20.12704,22.3
BR7-05114,2015-8-5 00:00:00,20.40392,22.3
BR7-05121,2015-8-5 00:00:00,20.18572,22.3
BR7-05122,2015-8-5 00:00:00,20.42548,22.3
BR7-05123,2015-8-5 00:00:00,20.38316,22.3
BR7-05124,2015-8-5 00:00:00,20.32964,22.3
BR7-05131,2015-8-5 00:00:00,20.28096,22.3
BR7-05132,2015-8-5 00:00:00,20.13684,22.3
BR7-05133,2015-8-5 00:00:00,20.1212,22.3
BR7-05134,2015-8-5 00:00:00,20.39548,22.3
BR7-01111,2015-8-19 00:00:00,21.66656,21.8
BR7-01112,2015-8-19 00:00:00,22.334,21.8
BR7-01113,2015-8-19 00:00:00,21.55224,21.8
BR7-01114,2015-8-19 00:00:00,21.60592,21.8
BR7-01121,2015-8-19 00:00:00,22.27612,21.8
BR7-01122,2015-8-19 00:00:00,22.29208,21.8
BR7-01123,2015-8-19 00:00:00,21.97504,21.8
BR7-01124,2015-8-19 00:00:00,21.37288,21.8
BR7-01131,2015-8-19 00:00:00,22.44564,21.8
BR7-01132,2015-8-19 00:00:00,22.3638,21.8
BR7-01133,2015-8-19 00:00:00,21.9398,21.8
BR7-01134,2015-8-19 00:00:00,21.50152,21.8
BR7-02111,2015-8-19 00:00:00,22.00008,21.8
BR7-02112,2015-8-19 00:00:00,21.66512,21.8
BR7-02113,2015-8-19 00:00:00,21.34996,21.8
BR7-02114,2015-8-19 00:00:00,21.47776,21.8
BR7-02121,2015-8-19 00:00:00,21.41428,21.8
BR7-02122,2015-8-19 00:00:00,21.48692,21.8
BR7-02123,2015-8-19 00:00:00,21.32656,21.8
BR7-02124,2015-8-19 00:00:00,22.3418,21.8
BR7-02131,2015-8-19 00:00:00,21.39924,21.8
BR7-02132,2015-8-19 00:00:00,21.8926,21.8
BR7-02133,2015-8-19 00:00:00,21.23,21.8
BR7-02134,2015-8-19 00:00:00,21.53356,21.8
BR7-03111,2015-8-19 00:00:00,21.59992,21.8
BR7-03112,2015-8-19 00:00:00,21.647,21.8
BR7-03113,2015-8-19 00:00:00,21.7704,21.8
BR7-03114,2015-8-19 00:00:00,21.59796,21.8
BR7-03121,2015-8-19 00:00:00,21.63888,21.8
BR7-03122,2015-8-19 00:00:00,21.50296,21.8
BR7-03123,2015-8-19 00:00:00,21.59728,21.8
BR7-03124,2015-8-19 00:00:00,22.2136,21.8
BR7-03131,2015-8-19 00:00:00,22.62356,21.8
BR7-03132,2015-8-19 00:00:00,21.90732,21.8
BR7-03133,2015-8-19 00:00:00,21.50928,21.8
BR7-03134,2015-8-19 00:00:00,22.63452,21.8
BR7-04111,2015-8-19 00:00:00,21.30228,21.8
BR7-04112,2015-8-19 00:00:00,21.08244,21.8
BR7-04113,2015-8-19 00:00:00,20.99392,21.8
BR7-04114,2015-8-19 00:00:00,20.47148,21.8
BR7-04121,2015-8-19 00:00:00,20.80248,21.8
BR7-04122,2015-8-19 00:00:00,21.11972,21.8
BR7-04123,2015-8-19 00:00:00,20.99176,21.8
BR7-04124,2015-8-19 00:00:00,20.79708,21.8
BR7-04131,2015-8-19 00:00:00,21.03972,21.8
